,F_0,F_1,F_2,F_max,deltaF,R2_score,C_half,dFdC_half,C_lift,C_slow,deltaC,Fluorophore
G17,3033.074060036221,3273.1949824779313,3288.6885316998832,3351.4924779846324,318.4184179484114,0.8773267978117526,32.856590329863856,15.1266288630598,28.73,36.99,8.260000000000002,Texas Red
G18,3183.952235578365,3253.750658686762,3267.916037764528,3352.374468549143,168.4222329707777,0.9708099100175505,53.999984839721186,6.650185160265229,53.34,54.66,1.3199999999999932,Texas Red
G19,3013.182277915046,3129.741537135892,3149.505414959066,3170.691318087047,157.50904017200082,0.8012575283627544,35.03957550113588,16.050595933994526,29.36,40.72,11.36,Texas Red
G20,2990.3685915698416,3131.2191022772586,3151.76232556413,3186.6913085180163,196.32271694817473,0.8755098255230662,36.81158062373659,17.17146682450812,31.47,42.15,10.68,Texas Red
G21,3127.1891274652935,3225.6628200571263,3239.2221314767535,3264.02191317426,136.83278570896664,0.6197945145904991,35.47662793707752,9.354553195947913,31.65,39.31,7.660000000000004,Texas Red
G22,2978.6858509876874,3135.791768958891,3153.577225173661,3182.6787969809334,203.99294599324594,0.8945881227029548,36.24100902436332,27.917146479902136,26.48,46.0,19.52,Texas Red
G23,3160.7112792453486,3280.1607428162843,3293.3113351281627,3438.767715629378,278.05643638402944,0.9867753120277574,53.99999015237733,6.616781791296628,53.34,54.66,1.3199999999999932,Texas Red
G24,3079.343930804141,3572.3736234010044,4768.315728215077,5276.98545049838,2197.6415196942385,0.9481573729325803,53.99972795959322,517.1982544929937,52.14,55.85,3.710000000000001,Texas Red
H1,3160.7509383488587,3312.8546996795726,3761.031005524915,3912.907150773454,752.1562124245952,0.9977523117126509,40.01865044724433,195.3966490221749,38.01,42.03,4.020000000000003,Texas Red
H2,3265.1158212918276,3475.1017343689236,3958.1848669682017,4204.554514363319,939.4386930714913,0.9990423404387179,40.29871225743315,208.62815356449525,38.47,42.12,3.6499999999999986,Texas Red
H3,3256.1389864830107,3431.3421978672873,3944.8533592501785,4120.122851895005,863.983865411994,0.9981919563427771,40.415366126729516,223.3827542926488,38.27,42.56,4.289999999999999,Texas Red
H4,3193.309754227493,3239.4180996496602,3244.431588758823,3345.443914438604,152.13416021111107,0.9833198102038926,37.46617221957443,2.704135922319482,36.81,38.12,1.3099999999999952,Texas Red
